2022-04-13 03:58:08,013 | bot | INFO | Cog loaded: CPcommands
2022-04-13 03:58:08,014 | bot | INFO | Cog loaded: OCPcommands
2022-04-13 03:58:08,016 | bot | INFO | Cog loaded: AdminCommands
2022-04-13 03:58:08,020 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-13 05:28:37,332 | main | INFO | Starting program...
2022-04-13 05:28:37,339 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-13 05:28:37,426 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-13 05:28:37,429 | bot | INFO | Bot Subclass Created.
2022-04-13 05:28:37,443 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-13 05:28:37,450 | bot | INFO | Cog loaded: AdminCommands
2022-04-13 05:28:37,451 | bot | INFO | Cog loaded: OCPcommands
2022-04-13 05:28:37,453 | bot | INFO | Cog loaded: CPcommands
2022-04-13 05:28:37,458 | bot | INFO | Cog loaded: ErrorHandler
2022-04-13 07:42:57,214 | main | INFO | Starting program...
2022-04-13 07:42:57,215 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-13 07:42:57,239 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-13 07:42:57,240 | bot | INFO | Bot Subclass Created.
2022-04-13 07:42:57,243 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-13 07:42:57,245 | bot | INFO | Cog loaded: CPcommands
2022-04-13 07:42:57,253 | bot | INFO | Cog loaded: ErrorHandler
2022-04-13 07:42:57,259 | bot | INFO | Cog loaded: AdminCommands
2022-04-13 07:42:57,263 | bot | INFO | Cog loaded: OCPcommands
2022-04-13 13:57:53,941 | main | INFO | Starting program...
2022-04-13 13:57:53,943 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-13 13:57:53,975 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-13 13:57:53,977 | bot | INFO | Bot Subclass Created.
2022-04-13 13:57:53,981 | bot | INFO | Cog loaded: OCPcommands
2022-04-13 13:57:53,982 | bot | INFO | Cog loaded: ErrorHandler
2022-04-13 13:57:53,983 | bot | INFO | Cog loaded: CPcommands
2022-04-13 13:57:53,986 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-13 13:57:54,004 | bot | INFO | Cog loaded: AdminCommands
2022-04-13 20:28:25,924 | main | INFO | Starting program...
2022-04-13 20:28:25,926 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-13 20:28:26,039 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-13 20:28:26,040 | bot | INFO | Bot Subclass Created.
2022-04-13 20:28:26,054 | bot | INFO | Cog loaded: ErrorHandler
2022-04-13 20:28:26,059 | bot | INFO | Cog loaded: CPcommands
2022-04-13 20:28:26,065 | bot | INFO | Cog loaded: OCPcommands
2022-04-13 20:28:26,071 | bot | INFO | Cog loaded: AdminCommands
2022-04-13 20:28:26,074 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-13 22:12:57,690 | main | INFO | Starting program...
2022-04-13 22:12:57,696 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-13 22:12:57,777 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-13 22:12:57,780 | bot | INFO | Bot Subclass Created.
2022-04-13 22:12:57,790 | bot | INFO | Cog loaded: CPcommands
2022-04-13 22:12:57,801 | bot | INFO | Cog loaded: OCPcommands
2022-04-13 22:12:57,810 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-13 22:12:57,813 | bot | INFO | Cog loaded: ErrorHandler
2022-04-13 22:12:57,820 | bot | INFO | Cog loaded: AdminCommands
2022-04-13 23:07:04,900 | main | INFO | Starting program...
2022-04-13 23:07:04,906 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-13 23:07:05,117 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-13 23:07:05,117 | bot | INFO | Bot Subclass Created.
2022-04-13 23:07:05,128 | bot | INFO | Cog loaded: ErrorHandler
2022-04-13 23:07:05,137 | bot | INFO | Cog loaded: OCPcommands
2022-04-13 23:07:05,157 | bot | INFO | Cog loaded: CPcommands
2022-04-13 23:07:05,171 | bot | INFO | Cog loaded: AdminCommands
2022-04-13 23:07:05,174 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 01:51:32,537 | main | INFO | Starting program...
2022-04-14 01:51:32,539 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 01:51:32,642 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 01:51:32,644 | bot | INFO | Bot Subclass Created.
2022-04-14 01:51:32,652 | bot | INFO | Cog loaded: AdminCommands
2022-04-14 01:51:32,654 | bot | INFO | Cog loaded: OCPcommands
2022-04-14 01:51:32,706 | bot | INFO | Cog loaded: CPcommands
2022-04-14 01:51:32,708 | bot | INFO | Cog loaded: ErrorHandler
2022-04-14 01:51:32,711 | bot | INFO | Cog loaded: CrusaderProfile
2022-04-14 02:53:48,591 | main | INFO | Starting program...
2022-04-14 02:53:48,595 | asyncio | DEBUG | Using selector: EpollSelector
2022-04-14 02:53:48,637 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2022-04-14 02:53:48,639 | bot | INFO | Bot Subclass Created.
